path,x,y
../Rocks-CENTERED/004724.png,59,7
../Rocks-CENTERED/001884.png,9,3
../Rocks-CENTERED/000542.png,7,47
../Rocks-CENTERED/002432.png,49,28
../Rocks-CENTERED/004043.png,60,10
../Rocks-CENTERED/000225.png,5,35
../Rocks-CENTERED/000543.png,2,24
../Rocks-CENTERED/001885.png,56,53
../Rocks-CENTERED/004725.png,5,9
../Rocks-CENTERED/002354.png,0,52
../Rocks-CENTERED/004731.png,30,58
../Rocks-CENTERED/002340.png,5,5
../Rocks-CENTERED/001649.png,23,43
../Rocks-CENTERED/000557.png,32,66
../Rocks-CENTERED/001891.png,59,12
../Rocks-CENTERED/000231.png,0,43
../Rocks-CENTERED/002426.png,65,54
../Rocks-CENTERED/003738.png,26,2
../Rocks-CENTERED/004057.png,48,30
../Rocks-CENTERED/000219.png,63,52
../Rocks-CENTERED/001107.png,56,65
../Rocks-CENTERED/003710.png,40,64
../Rocks-CENTERED/004719.png,37,30
../Rocks-CENTERED/003076.png,45,5
../Rocks-CENTERED/002368.png,25,60
../Rocks-CENTERED/001661.png,66,3
../Rocks-CENTERED/001675.png,21,6
../Rocks-CENTERED/003062.png,50,5
../Rocks-CENTERED/003704.png,66,34
../Rocks-CENTERED/001113.png,14,27
../Rocks-CENTERED/004080.png,64,32
../Rocks-CENTERED/003937.png,45,37
../Rocks-CENTERED/002397.png,4,6
../Rocks-CENTERED/003089.png,12,12
../Rocks-CENTERED/000580.png,66,64
../Rocks-CENTERED/001846.png,53,45
../Rocks-CENTERED/000594.png,30,52
../Rocks-CENTERED/001852.png,2,16
../Rocks-CENTERED/002383.png,17,0
../Rocks-CENTERED/004094.png,33,0
../Rocks-CENTERED/003923.png,50,36
../Rocks-CENTERED/004902.png,59,34
../Rocks-CENTERED/004916.png,16,11
../Rocks-CENTERED/002156.png,17,5
../Rocks-CENTERED/003248.png,61,34
../Rocks-CENTERED/004527.png,10,7
../Rocks-CENTERED/000741.png,31,36
../Rocks-CENTERED/000999.png,8,27
../Rocks-CENTERED/001339.png,43,67
../Rocks-CENTERED/000027.png,12,47
../Rocks-CENTERED/004241.png,6,7
../Rocks-CENTERED/002630.png,1,10
../Rocks-CENTERED/004255.png,32,14
../Rocks-CENTERED/002624.png,4,21
../Rocks-CENTERED/000033.png,47,57
../Rocks-CENTERED/000755.png,65,8
../Rocks-CENTERED/002142.png,56,5
../Rocks-CENTERED/004533.png,52,38
../Rocks-CENTERED/001463.png,53,51
../Rocks-CENTERED/003274.png,35,15
../Rocks-CENTERED/003512.png,53,38
../Rocks-CENTERED/001305.png,68,11
../Rocks-CENTERED/001311.png,56,28
../Rocks-CENTERED/004269.png,15,28
../Rocks-CENTERED/003506.png,50,40
../Rocks-CENTERED/002618.png,19,42
../Rocks-CENTERED/003260.png,68,52
../Rocks-CENTERED/000769.png,28,19
../Rocks-CENTERED/001477.png,54,19
../Rocks-CENTERED/000782.png,45,22
../Rocks-CENTERED/002195.png,23,0
../Rocks-CENTERED/004282.png,16,32
../Rocks-CENTERED/004296.png,32,29
../Rocks-CENTERED/002181.png,64,53
../Rocks-CENTERED/001488.png,0,16
../Rocks-CENTERED/000796.png,35,25
../Rocks-CENTERED/000966.png,47,59
../Rocks-CENTERED/002817.png,42,42
../Rocks-CENTERED/002803.png,22,56
../Rocks-CENTERED/000972.png,66,7
../Rocks-CENTERED/004453.png,69,20
../Rocks-CENTERED/002022.png,35,24
../Rocks-CENTERED/000635.png,30,35
../Rocks-CENTERED/000153.png,59,14
../Rocks-CENTERED/002744.png,9,55
../Rocks-CENTERED/004335.png,39,5
../Rocks-CENTERED/002750.png,60,21
../Rocks-CENTERED/004321.png,59,29
../Rocks-CENTERED/002988.png,44,4
../Rocks-CENTERED/000147.png,40,26
../Rocks-CENTERED/001259.png,3,38
../Rocks-CENTERED/000621.png,51,31
../Rocks-CENTERED/004447.png,26,33
../Rocks-CENTERED/003328.png,42,4
../Rocks-CENTERED/002036.png,8,6
../Rocks-CENTERED/001517.png,69,9
../Rocks-CENTERED/000609.png,52,15
../Rocks-CENTERED/003300.png,7,66
../Rocks-CENTERED/002778.png,38,54
../Rocks-CENTERED/003466.png,4,51
../Rocks-CENTERED/004309.png,50,18
../Rocks-CENTERED/001271.png,69,42
../Rocks-CENTERED/001265.png,62,4
../Rocks-CENTERED/003472.png,15,2
../Rocks-CENTERED/003314.png,34,39
../Rocks-CENTERED/001503.png,28,29
../Rocks-CENTERED/004490.png,58,42
../Rocks-CENTERED/003499.png,50,1
../Rocks-CENTERED/002787.png,63,59
../Rocks-CENTERED/000190.png,5,60
../Rocks-CENTERED/000184.png,58,50
../Rocks-CENTERED/002793.png,36,6
../Rocks-CENTERED/004484.png,56,56
../Rocks-CENTERED/000812.png,16,23
../Rocks-CENTERED/002963.png,9,36
../Rocks-CENTERED/002977.png,45,3
../Rocks-CENTERED/000806.png,47,33
../Rocks-CENTERED/004137.png,25,42
../Rocks-CENTERED/003658.png,35,20
../Rocks-CENTERED/002546.png,8,52
../Rocks-CENTERED/003880.png,30,57
../Rocks-CENTERED/000351.png,67,24
../Rocks-CENTERED/000437.png,65,4
../Rocks-CENTERED/001729.png,37,46
../Rocks-CENTERED/002220.png,2,7
../Rocks-CENTERED/004889.png,47,46
../Rocks-CENTERED/004651.png,45,65
../Rocks-CENTERED/002234.png,55,34
../Rocks-CENTERED/004645.png,18,52
../Rocks-CENTERED/000423.png,29,44
../Rocks-CENTERED/000345.png,14,61
../Rocks-CENTERED/004123.png,32,46
../Rocks-CENTERED/002552.png,6,60
../Rocks-CENTERED/003894.png,44,62
../Rocks-CENTERED/001073.png,5,23
../Rocks-CENTERED/003664.png,56,55
../Rocks-CENTERED/003102.png,47,63
../Rocks-CENTERED/001715.png,33,46
../Rocks-CENTERED/001701.png,47,7
../Rocks-CENTERED/002208.png,7,50
../Rocks-CENTERED/003116.png,64,19
../Rocks-CENTERED/004679.png,47,45
../Rocks-CENTERED/003670.png,29,2
../Rocks-CENTERED/001067.png,10,40
../Rocks-CENTERED/000379.png,40,21
../Rocks-CENTERED/000392.png,7,19
../Rocks-CENTERED/002585.png,18,65
../Rocks-CENTERED/003843.png,38,16
../Rocks-CENTERED/004692.png,26,4
../Rocks-CENTERED/001932.png,54,30
../Rocks-CENTERED/001926.png,45,16
../Rocks-CENTERED/004686.png,28,7
../Rocks-CENTERED/002591.png,57,6
../Rocks-CENTERED/003857.png,3,42
../Rocks-CENTERED/000386.png,60,26
../Rocks-CENTERED/001098.png,56,69
../Rocks-CENTERED/004876.png,1,0
../Rocks-CENTERED/004862.png,2,0
../Rocks-CENTERED/004874.png,30,62
../Rocks-CENTERED/003869.png,45,63
../Rocks-CENTERED/001918.png,11,18
../Rocks-CENTERED/004860.png,18,36
../Rocks-CENTERED/001930.png,21,12
../Rocks-CENTERED/004848.png,11,23
../Rocks-CENTERED/004690.png,14,68
../Rocks-CENTERED/003699.png,63,3
../Rocks-CENTERED/003841.png,9,57
../Rocks-CENTERED/002587.png,45,42
../Rocks-CENTERED/000390.png,55,22
../Rocks-CENTERED/000384.png,20,26
../Rocks-CENTERED/003855.png,30,63
../Rocks-CENTERED/002593.png,15,44
../Rocks-CENTERED/004684.png,9,52
../Rocks-CENTERED/001924.png,2,37
../Rocks-CENTERED/001717.png,56,63
../Rocks-CENTERED/000409.png,32,2
../Rocks-CENTERED/003100.png,58,11
../Rocks-CENTERED/002578.png,33,13
../Rocks-CENTERED/003666.png,28,0
../Rocks-CENTERED/004109.png,45,27
../Rocks-CENTERED/001071.png,51,43
../Rocks-CENTERED/001065.png,25,16
../Rocks-CENTERED/003672.png,61,49
../Rocks-CENTERED/003114.png,22,34
../Rocks-CENTERED/001703.png,17,61
../Rocks-CENTERED/004653.png,26,45
../Rocks-CENTERED/002222.png,37,28
../Rocks-CENTERED/000435.png,21,35
../Rocks-CENTERED/000353.png,35,54
../Rocks-CENTERED/003882.png,8,42
../Rocks-CENTERED/002544.png,42,52
../Rocks-CENTERED/004135.png,5,41
../Rocks-CENTERED/003896.png,48,15
../Rocks-CENTERED/002550.png,13,25
../Rocks-CENTERED/004121.png,38,18
../Rocks-CENTERED/000347.png,4,10
../Rocks-CENTERED/001059.png,7,3
../Rocks-CENTERED/000421.png,51,12
../Rocks-CENTERED/004647.png,40,44
../Rocks-CENTERED/003128.png,26,16
../Rocks-CENTERED/002236.png,28,12
../Rocks-CENTERED/002961.png,4,63
../Rocks-CENTERED/000810.png,29,47
../Rocks-CENTERED/000804.png,42,22
../Rocks-CENTERED/002975.png,50,48
../Rocks-CENTERED/000192.png,7,10
../Rocks-CENTERED/002785.png,7,68
../Rocks-CENTERED/004492.png,33,57
../Rocks-CENTERED/000838.png,47,56
../Rocks-CENTERED/004486.png,45,52
../Rocks-CENTERED/002791.png,14,57
../Rocks-CENTERED/002949.png,5,31
../Rocks-CENTERED/000186.png,32,31
../Rocks-CENTERED/001298.png,50,56
../Rocks-CENTERED/001273.png,8,39
../Rocks-CENTERED/003464.png,47,55
../Rocks-CENTERED/003302.png,1,43
../Rocks-CENTERED/001515.png,23,54
../Rocks-CENTERED/001501.png,51,20
../Rocks-CENTERED/002008.png,28,13
../Rocks-CENTERED/003316.png,37,22
../Rocks-CENTERED/004479.png,56,40
../Rocks-CENTERED/003470.png,38,34
../Rocks-CENTERED/001267.png,24,56
../Rocks-CENTERED/000179.png,29,66
../Rocks-CENTERED/004337.png,64,5
../Rocks-CENTERED/003458.png,42,61
../Rocks-CENTERED/002746.png,14,69
../Rocks-CENTERED/000151.png,46,12
../Rocks-CENTERED/000637.png,67,17
../Rocks-CENTERED/001529.png,39,11
../Rocks-CENTERED/002020.png,28,1
../Rocks-CENTERED/004451.png,33,11
../Rocks-CENTERED/002034.png,40,65
../Rocks-CENTERED/004445.png,52,20
../Rocks-CENTERED/000623.png,36,69
../Rocks-CENTERED/000145.png,64,7
../Rocks-CENTERED/004323.png,3,62
../Rocks-CENTERED/002752.png,56,17
../Rocks-CENTERED/002815.png,52,4
../Rocks-CENTERED/000964.png,58,37
../Rocks-CENTERED/000970.png,18,13
../Rocks-CENTERED/002801.png,10,43
../Rocks-CENTERED/004280.png,14,40
../Rocks-CENTERED/002829.png,2,39
../Rocks-CENTERED/002197.png,49,59
../Rocks-CENTERED/003289.png,36,54
../Rocks-CENTERED/000780.png,46,5
../Rocks-CENTERED/000958.png,56,25
